tiempo,SH,SCH,SHMM,SHMP,SH-BL,SCH-BL,SHMM-BL,SHMP-BL
0.0,23713.6,19466.8,24021.2,23663.0,15875.6,15879.6,15894.8,15839.8
0.0,22242.2,18999.2,23690.4,22425.8,15875.2,15867.6,15885.8,15821.0
0.0,21392.0,18811.4,23439.6,21749.6,15875.2,15853.4,15885.8,15817.8
0.0,20705.4,18629.4,23100.4,21255.2,15875.2,15853.4,15885.8,15817.8
0.0,20530.2,18591.2,22962.6,20935.6,15875.2,15853.4,15885.8,15817.8
0.0,20508.8,18450.8,22962.6,20935.6,15875.2,15853.4,15885.8,15817.8
0.0,20508.8,18238.2,22962.6,20935.6,15875.2,15853.4,15885.8,15817.8
0.0,20508.8,18181.2,22962.6,20935.6,15875.2,15853.4,15885.8,15817.8
0.0,20508.8,18145.6,22962.6,20935.6,15875.2,15853.4,15885.8,15817.8
0.015,20248.8,18029.0,22840.0,20933.4,15850.0,15819.6,15860.2,15811.6
0.015,20167.2,17955.2,22779.4,20929.0,15850.0,15813.4,15856.4,15811.2
0.015,20135.6,17912.6,22731.0,20929.0,15850.0,15813.0,15856.4,15811.2
0.015,20135.6,17907.0,22699.4,20929.0,15850.0,15813.0,15856.4,15811.2
0.015,20135.6,17907.0,22571.6,20929.0,15850.0,15813.0,15856.4,15811.2
0.015,20135.6,17907.0,22554.4,20929.0,15850.0,15813.0,15856.4,15811.2
0.015,20135.6,17907.0,22539.6,20929.0,15850.0,15813.0,15856.4,15811.2
0.016,19903.8,17898.0,22158.2,20861.0,15834.0,15809.0,15837.4,15799.8
0.016,19611.6,17898.0,21575.6,20738.0,15816.6,15803.4,15837.4,15797.6
0.016,19163.2,17898.0,21431.6,20669.8,15816.6,15800.0,15837.4,15797.6
0.016,19100.6,17898.0,21210.6,20669.8,15816.6,15800.0,15837.4,15797.6
0.016,19100.6,17898.0,20986.4,20669.8,15816.6,15800.0,15837.4,15797.6
0.016,19100.6,17898.0,20787.4,20669.8,15816.6,15800.0,15837.4,15797.6
0.016,19100.6,17898.0,20661.2,20669.8,15816.6,15800.0,15837.4,15797.6
0.031,19067.6,17882.4,20227.4,20441.8,15810.6,15795.0,15835.6,15793.4
0.031,19047.6,17867.4,20048.6,20412.6,15807.8,15792.6,15835.4,15793.4
0.031,19047.6,17867.4,19866.4,20412.6,15807.8,15792.4,15822.0,15793.4
0.031,19047.6,17867.4,19824.6,20412.6,15807.8,15792.4,15822.0,15793.4
0.032,18983.2,17867.4,19749.2,20412.6,15807.8,15792.4,15822.0,15793.0
0.032,18840.0,17867.4,19681.4,20412.6,15807.8,15792.4,15822.0,15793.0
0.032,18840.0,17867.4,19656.0,20412.6,15807.8,15792.4,15822.0,15793.0
0.032,18840.0,17867.4,19521.4,20412.6,15807.8,15792.4,15822.0,15793.0
0.046,18709.4,17851.4,19521.4,20412.6,15807.8,15792.4,15821.8,15793.0
0.046,18709.4,17847.6,19521.4,20412.6,15807.8,15792.4,15821.8,15793.0
0.046,18709.4,17807.2,19521.4,20412.6,15807.8,15792.4,15821.8,15793.0
0.046,18709.4,17791.6,19521.4,20412.6,15807.8,15792.4,15821.8,15793.0
0.047,18692.6,17695.4,19199.8,20309.6,15799.8,15791.6,15820.2,15792.0
0.047,18673.8,17682.0,19066.8,20285.4,15799.8,15791.6,15820.2,15792.0
0.047,18635.2,17682.0,19019.2,20285.4,15799.8,15791.6,15820.2,15792.0
0.062,18635.2,17667.0,18947.8,20209.6,15798.2,15783.8,15819.6,15790.0
0.062,18635.2,17623.6,18804.2,20147.0,15798.2,15783.8,15817.4,15790.0
0.062,18635.2,17623.6,18804.2,20137.6,15798.2,15783.8,15817.4,15790.0
0.063,18622.2,17609.4,18692.0,20137.0,15798.2,15783.8,15817.4,15788.8
0.063,18573.2,17609.4,18692.0,20137.0,15798.2,15783.8,15817.4,15788.8
0.078,18453.4,17594.0,18606.8,20088.6,15798.2,15783.8,15815.4,15786.6
0.078,18453.4,17585.2,18523.8,20046.6,15798.2,15783.8,15815.4,15784.6
0.078,18453.4,17585.2,18523.8,20039.4,15798.2,15783.8,15815.4,15784.6
0.078,18453.4,17585.2,18523.8,19978.0,15798.2,15783.8,15815.4,15784.6
0.093,18453.4,17563.8,18437.4,19977.0,15798.0,15783.8,15811.4,15784.6
0.093,18453.4,17528.2,18437.4,19937.2,15798.0,15783.8,15811.4,15784.6
0.094,18433.6,17523.8,18380.8,19916.8,15798.0,15783.8,15811.4,15783.6
0.094,18433.6,17500.2,18278.0,19916.8,15798.0,15783.8,15811.4,15783.6
0.094,18433.6,17500.2,18214.2,19916.8,15798.0,15783.8,15811.4,15783.6
0.109,18345.8,17441.6,18181.6,19886.4,15798.0,15781.4,15811.4,15783.6
0.109,18345.8,17441.6,18067.4,19867.6,15798.0,15781.0,15811.4,15783.6
0.109,18345.8,17441.6,18067.4,19866.0,15798.0,15781.0,15811.4,15783.6
0.11,18226.2,17441.6,17981.0,19866.0,15798.0,15781.0,15811.4,15783.6
0.124,18226.2,17441.6,17981.0,19866.0,15797.8,15781.0,15809.8,15783.6
0.125,18199.0,17436.8,17948.2,19806.2,15797.8,15781.0,15809.2,15783.6
0.125,18199.0,17436.8,17948.2,19729.0,15797.8,15781.0,15809.2,15783.6
0.14,18199.0,17411.0,17939.2,19646.8,15797.8,15781.0,15809.2,15783.6
0.14,18199.0,17395.8,17939.2,19628.6,15797.8,15781.0,15809.2,15783.6
0.141,18199.0,17387.8,17870.2,19628.6,15797.8,15781.0,15809.2,15783.6
0.141,18199.0,17387.8,17851.6,19628.6,15797.8,15781.0,15809.2,15783.6
0.156,18159.8,17387.8,17851.6,19596.6,15797.8,15781.0,15796.4,15782.0
0.156,18159.8,17387.8,17851.6,19574.4,15797.8,15781.0,15796.4,15782.0
0.171,18159.8,17340.4,17851.6,19559.2,15797.8,15781.0,15796.4,15782.0
0.172,18159.8,17340.4,17741.2,19554.8,15797.8,15781.0,15796.4,15782.0
0.187,18159.8,17321.0,17723.2,19545.2,15797.8,15781.0,15796.4,15782.0
0.188,18111.8,17321.0,17723.2,19545.2,15797.8,15781.0,15796.4,15782.0
0.202,18111.8,17318.4,17723.2,19545.2,15797.8,15781.0,15796.4,15782.0
0.202,18111.8,17308.2,17723.2,19545.2,15797.8,15781.0,15796.4,15782.0
0.203,18111.8,17297.4,17665.4,19535.8,15797.8,15781.0,15796.2,15782.0
0.203,18111.8,17297.4,17665.4,19513.8,15797.8,15781.0,15796.2,15782.0
0.203,18111.8,17297.4,17665.4,19504.2,15797.8,15781.0,15796.2,15782.0
0.203,18111.8,17297.4,17665.4,19492.4,15797.8,15781.0,15796.2,15782.0
0.218,18111.8,17284.2,17665.4,19479.2,15797.8,15781.0,15791.0,15782.0
0.219,18111.8,17274.0,17623.2,19479.2,15797.8,15781.0,15790.4,15782.0
0.219,18111.8,17268.0,17623.2,19479.2,15797.8,15781.0,15790.4,15782.0
0.234,18111.8,17210.2,17516.4,19456.4,15797.8,15781.0,15787.4,15782.0
0.234,18111.8,17200.4,17516.4,19456.4,15797.8,15781.0,15787.4,15782.0
0.249,18111.8,17195.4,17488.0,19416.6,15797.8,15781.0,15787.4,15782.0
0.25,18111.8,17195.4,17481.4,19416.6,15797.8,15781.0,15786.2,15782.0
0.265,18111.8,17194.2,17476.4,19401.6,15797.8,15781.0,15786.2,15782.0
0.265,18111.8,17185.0,17471.8,19401.6,15797.8,15781.0,15786.2,15782.0
0.266,18111.8,17185.0,17435.6,19401.6,15797.8,15781.0,15786.2,15782.0
0.266,18111.8,17185.0,17422.0,19401.6,15797.8,15781.0,15786.2,15782.0
0.28,18111.8,17182.8,17422.0,19401.6,15797.8,15781.0,15786.2,15782.0
0.28,18111.8,17152.4,17422.0,19401.6,15797.8,15781.0,15786.2,15782.0
0.281,18111.8,17130.0,17349.6,19392.0,15797.0,15781.0,15786.2,15782.0
0.281,18111.8,17130.0,17306.6,19342.2,15797.0,15781.0,15786.2,15782.0
0.281,18111.8,17130.0,17306.6,19342.0,15797.0,15781.0,15786.2,15782.0
0.296,18111.8,17115.0,17306.6,19342.0,15797.0,15781.0,15786.2,15782.0
0.297,18111.8,17115.0,17234.0,19342.0,15797.0,15781.0,15786.2,15782.0
0.312,18111.8,17115.0,17225.8,19326.0,15796.6,15781.0,15786.2,15782.0
0.312,18111.8,17115.0,17225.8,19309.2,15796.6,15781.0,15786.2,15782.0
0.327,18111.8,17115.0,17225.8,19309.2,15795.4,15781.0,15786.2,15782.0
0.328,18101.0,17115.0,17188.4,19309.2,15794.2,15781.0,15786.2,15782.0
0.343,18101.0,17115.0,17168.4,19309.2,15794.2,15781.0,15786.2,15782.0
0.344,18030.6,17115.0,17168.4,19309.2,15794.2,15781.0,15786.2,15782.0
0.358,18015.6,17112.8,17168.4,19309.2,15794.2,15781.0,15786.2,15782.0
0.359,18015.6,17112.8,17157.2,19309.2,15794.2,15781.0,15786.2,15782.0
0.359,18015.6,17112.8,17115.8,19309.2,15794.2,15781.0,15786.2,15782.0
0.374,18013.6,17108.2,17115.8,19301.8,15794.2,15781.0,15786.2,15782.0
0.374,18013.6,17108.2,17115.8,19291.4,15794.2,15781.0,15786.2,15782.0
0.374,18013.6,17108.2,17115.8,19279.2,15794.2,15781.0,15786.2,15782.0
0.374,18013.6,17108.2,17115.8,19266.6,15794.2,15781.0,15786.2,15782.0
0.375,17941.2,17108.2,17115.2,19266.6,15794.2,15781.0,15786.2,15782.0
0.39,17941.2,17093.2,17093.0,19263.6,15794.2,15781.0,15786.2,15782.0
0.39,17941.2,17093.2,17074.6,19263.6,15794.2,15781.0,15786.2,15782.0
0.405,17934.0,17074.0,17074.6,19253.4,15794.2,15781.0,15786.2,15782.0
0.406,17934.0,17074.0,16965.4,19253.4,15794.2,15781.0,15786.2,15782.0
0.421,17934.0,17073.6,16952.2,19246.8,15794.2,15781.0,15786.2,15782.0
0.436,17934.0,17050.8,16952.2,19246.8,15794.2,15781.0,15786.2,15782.0
0.437,17934.0,17049.4,16920.4,19246.8,15794.2,15780.8,15783.6,15782.0
0.452,17934.0,17049.4,16920.4,19205.2,15794.2,15780.8,15783.6,15782.0
0.453,17934.0,17049.4,16906.4,19205.2,15793.2,15780.8,15783.6,15782.0
0.468,17934.0,17049.4,16906.4,19204.6,15793.2,15780.8,15783.6,15782.0
0.483,17934.0,17049.4,16906.4,19191.0,15793.2,15780.8,15783.6,15782.0
0.484,17934.0,17040.2,16896.4,19191.0,15793.2,15780.8,15783.6,15782.0
0.499,17934.0,17040.2,16891.4,19183.6,15793.2,15780.8,15783.6,15782.0
0.5,17923.0,17040.2,16891.4,19183.6,15793.2,15780.8,15783.6,15782.0
0.515,17923.0,17014.4,16891.4,19163.2,15793.2,15780.8,15783.6,15782.0
0.53,17874.0,17011.2,16891.4,19163.2,15793.2,15780.8,15783.6,15782.0
0.531,17874.0,17011.2,16818.2,19163.2,15793.2,15780.8,15781.8,15782.0
0.531,17874.0,17011.2,16800.4,19163.2,15793.2,15780.8,15781.8,15782.0
0.546,17874.0,17011.2,16782.4,19163.2,15793.2,15780.8,15781.8,15782.0
0.561,17874.0,17003.6,16782.4,19158.8,15793.2,15780.8,15781.8,15782.0
0.561,17874.0,17003.6,16782.4,19145.2,15793.2,15780.8,15781.8,15782.0
0.562,17874.0,17003.6,16760.6,19123.0,15793.2,15780.6,15781.8,15782.0
0.577,17874.0,16950.8,16760.6,19118.6,15793.2,15780.6,15781.6,15782.0
0.592,17874.0,16950.8,16760.6,19118.6,15792.6,15780.6,15781.6,15782.0
0.593,17868.0,16950.8,16760.6,19109.6,15792.6,15780.6,15781.6,15782.0
0.593,17868.0,16950.8,16760.6,19097.6,15792.6,15780.6,15781.6,15782.0
0.608,17868.0,16950.8,16718.8,19080.4,15792.6,15780.6,15780.6,15782.0
0.624,17868.0,16944.2,16697.0,19042.2,15792.6,15780.6,15780.6,15782.0
0.624,17868.0,16935.4,16697.0,19042.2,15792.6,15780.6,15780.6,15782.0
0.639,17868.0,16927.0,16697.0,19036.4,15792.6,15780.6,15780.6,15782.0
0.639,17868.0,16922.2,16697.0,19036.4,15792.6,15780.6,15780.6,15782.0
0.64,17868.0,16922.2,16696.6,19036.4,15792.4,15780.6,15780.6,15782.0
0.655,17832.6,16920.2,16694.8,19028.0,15792.4,15780.6,15780.6,15782.0
0.656,17828.0,16920.2,16694.8,19028.0,15792.4,15780.6,15780.6,15782.0
0.67,17828.0,16904.2,16694.8,19028.0,15792.4,15780.6,15780.6,15782.0
0.67,17828.0,16893.0,16694.8,19028.0,15792.4,15780.6,15780.6,15782.0
0.67,17828.0,16879.0,16694.8,19028.0,15792.4,15780.6,15780.6,15782.0
0.67,17828.0,16874.4,16694.8,19028.0,15792.4,15780.6,15780.6,15782.0
0.686,17828.0,16855.0,16694.8,19008.0,15792.4,15780.6,15780.6,15782.0
0.686,17828.0,16843.8,16694.8,19008.0,15792.4,15780.6,15780.6,15782.0
0.687,17828.0,16843.8,16693.0,19008.0,15792.4,15780.6,15780.6,15782.0
0.702,17806.4,16822.4,16657.2,19008.0,15792.4,15780.6,15780.6,15782.0
0.718,17806.4,16822.4,16657.2,19001.4,15792.4,15780.6,15780.6,15782.0
0.733,17806.4,16812.2,16646.2,18978.6,15792.2,15780.6,15780.6,15782.0
0.733,17806.4,16812.2,16630.4,18978.6,15792.2,15780.6,15780.6,15782.0
0.749,17806.4,16812.2,16625.2,18966.0,15792.2,15780.6,15780.6,15782.0
0.749,17806.4,16812.2,16615.2,18966.0,15792.2,15780.6,15780.6,15782.0
0.764,17806.4,16793.8,16615.2,18966.0,15792.2,15780.6,15780.6,15782.0
0.78,17806.4,16773.0,16610.0,18966.0,15792.2,15780.6,15780.6,15782.0
0.795,17806.4,16771.4,16610.0,18966.0,15792.2,15780.6,15780.6,15782.0
0.796,17801.6,16771.4,16604.0,18966.0,15792.2,15780.6,15780.6,15782.0
0.812,17801.6,16771.4,16595.0,18966.0,15792.2,15780.6,15780.6,15782.0
0.812,17801.6,16771.4,16594.6,18966.0,15792.2,15780.6,15780.6,15782.0
0.826,17801.6,16764.8,16594.6,18966.0,15792.2,15780.6,15780.6,15782.0
0.827,17801.6,16764.8,16586.2,18966.0,15792.2,15780.6,15780.6,15782.0
0.842,17801.6,16761.8,16586.2,18955.2,15792.2,15780.6,15780.6,15782.0
0.858,17801.6,16761.8,16586.2,18955.2,15792.2,15780.4,15780.6,15782.0
0.873,17801.6,16757.8,16586.2,18955.2,15792.2,15780.4,15780.6,15782.0
0.889,17801.6,16757.8,16586.2,18955.2,15792.2,15780.4,15780.6,15780.6
0.92,17801.6,16755.8,16586.2,18955.2,15792.2,15780.4,15780.4,15780.6
0.936,17801.6,16736.0,16576.8,18955.2,15792.2,15780.4,15780.4,15780.6
0.983,17801.6,16736.0,16576.8,18955.2,15790.4,15780.4,15780.4,15780.6
1.045,17801.6,16731.6,16576.8,18955.2,15790.4,15780.4,15780.4,15780.6
1.076,17801.6,16723.0,16576.8,18945.8,15790.4,15780.4,15780.4,15780.6
1.107,17801.6,16713.0,16576.8,18945.8,15790.4,15780.4,15780.4,15780.6
1.108,17801.6,16713.0,16569.6,18945.8,15790.4,15780.4,15780.4,15780.6
1.139,17801.6,16713.0,16565.6,18945.8,15790.4,15780.4,15780.4,15780.6
1.139,17801.6,16713.0,16565.4,18945.8,15790.4,15780.4,15780.4,15780.6
1.154,17801.6,16713.0,16565.4,18929.4,15788.4,15780.4,15780.4,15780.6
1.17,17801.6,16713.0,16565.4,18921.6,15788.4,15780.4,15780.4,15780.6
