tiempo,SH,SCH,SHMM,SHMP,SH-BL,SCH-BL,SHMM-BL,SHMP-BL
0.0,875.4,654.0,877.4,876.2,545.4,544.0,546.4,544.8
0.0,817.0,623.8,853.4,819.4,544.0,540.2,544.4,543.0
0.0,764.8,611.4,825.4,774.0,544.0,539.6,543.6,541.8
0.0,725.6,606.0,818.0,765.4,544.0,539.6,543.6,541.8
0.0,684.2,598.0,788.6,757.8,544.0,539.6,543.6,541.8
0.0,663.4,595.6,763.6,744.2,544.0,539.6,543.6,541.8
0.0,646.2,591.6,751.2,733.6,544.0,539.6,543.6,541.8
0.0,630.8,590.6,729.6,728.2,544.0,539.6,543.6,541.8
0.0,620.2,589.8,718.6,724.2,544.0,539.6,543.6,541.8
0.0,618.0,589.8,702.4,722.2,544.0,539.6,543.6,541.8
0.0,606.8,589.8,690.4,712.6,544.0,539.6,543.6,541.8
0.0,605.2,589.8,684.0,709.6,544.0,539.6,543.6,541.8
0.0,603.8,589.8,673.4,707.4,544.0,539.6,543.6,541.8
0.0,603.8,589.8,669.0,704.0,544.0,539.6,543.6,541.8
0.0,603.8,589.8,668.8,703.6,544.0,539.6,543.6,541.8
0.0,603.8,589.8,668.8,702.4,544.0,539.6,543.6,541.8
0.0,603.8,589.8,668.8,700.2,544.0,539.6,543.6,541.8
0.015,599.0,589.6,655.6,686.6,543.4,539.6,543.2,541.4
0.015,593.8,589.4,638.4,682.8,542.8,539.6,543.0,540.8
0.015,590.6,587.8,631.0,678.2,542.8,539.6,542.2,540.4
0.015,587.2,587.4,622.0,675.2,542.8,539.6,542.2,539.8
0.015,587.2,587.4,614.8,672.6,542.8,539.6,542.2,539.8
0.015,587.2,587.4,604.0,669.4,542.8,539.6,542.2,539.8
0.015,587.2,587.4,603.2,662.2,542.8,539.6,542.2,539.8
0.015,587.2,587.4,593.4,660.4,542.8,539.6,542.2,539.8
0.015,587.2,587.4,584.8,659.2,542.8,539.6,542.2,539.8
0.015,587.2,587.4,584.8,657.4,542.8,539.6,542.2,539.8
0.015,587.2,587.4,584.8,655.4,542.8,539.6,542.2,539.8
0.016,586.2,577.8,584.2,655.2,540.0,539.2,539.8,539.0
0.016,586.2,575.0,581.6,652.4,539.0,538.6,538.6,538.0
0.016,586.2,570.0,580.0,651.4,538.0,538.0,538.6,538.0
0.016,586.2,568.2,579.4,651.2,538.0,538.0,538.6,538.0
0.016,586.2,565.2,579.0,649.8,538.0,538.0,538.6,538.0
0.016,586.2,564.6,578.4,647.8,538.0,538.0,538.6,538.0
0.016,586.2,564.6,578.0,647.8,538.0,538.0,538.6,538.0
0.031,585.2,559.8,569.2,642.4,538.0,538.0,538.0,538.0
0.031,585.2,559.2,565.0,638.4,538.0,538.0,538.0,538.0
0.031,585.2,559.2,560.8,636.8,538.0,538.0,538.0,538.0
0.031,585.2,559.2,560.0,635.4,538.0,538.0,538.0,538.0
0.031,585.2,559.2,559.2,635.0,538.0,538.0,538.0,538.0
0.031,585.2,559.2,559.2,634.8,538.0,538.0,538.0,538.0
0.031,585.2,559.2,559.2,634.6,538.0,538.0,538.0,538.0
0.032,583.6,558.4,559.0,634.6,538.0,538.0,538.0,538.0
0.032,582.6,558.4,558.2,634.6,538.0,538.0,538.0,538.0
0.046,582.4,558.4,557.4,632.8,538.0,538.0,538.0,538.0
0.046,582.4,558.4,557.4,631.8,538.0,538.0,538.0,538.0
0.046,582.4,558.4,557.4,630.2,538.0,538.0,538.0,538.0
0.046,582.4,558.4,557.4,628.8,538.0,538.0,538.0,538.0
0.046,582.4,558.4,557.4,627.6,538.0,538.0,538.0,538.0
0.046,582.4,558.4,557.4,626.2,538.0,538.0,538.0,538.0
0.047,580.0,557.2,554.6,624.8,538.0,538.0,538.0,538.0
0.047,576.6,557.0,553.6,624.2,538.0,538.0,538.0,538.0
0.047,576.6,556.6,553.2,624.2,538.0,538.0,538.0,538.0
0.047,576.6,556.6,552.0,624.2,538.0,538.0,538.0,538.0
0.047,576.6,556.6,551.8,624.2,538.0,538.0,538.0,538.0
0.047,576.6,556.6,551.6,624.2,538.0,538.0,538.0,538.0
0.062,576.6,555.6,551.4,621.2,538.0,538.0,538.0,538.0
0.062,576.6,555.6,551.4,617.6,538.0,538.0,538.0,538.0
0.062,576.6,555.6,551.4,612.0,538.0,538.0,538.0,538.0
0.062,576.6,555.6,551.4,609.8,538.0,538.0,538.0,538.0
0.062,576.6,555.6,551.4,606.8,538.0,538.0,538.0,538.0
0.062,576.6,555.6,551.4,606.4,538.0,538.0,538.0,538.0
0.062,576.6,555.6,551.4,606.2,538.0,538.0,538.0,538.0
0.062,576.6,555.6,551.4,605.0,538.0,538.0,538.0,538.0
0.063,574.4,555.6,551.4,605.0,538.0,538.0,538.0,538.0
0.078,574.2,555.6,551.4,602.4,538.0,538.0,538.0,538.0
0.078,570.4,555.6,551.4,600.6,538.0,538.0,538.0,538.0
0.078,570.4,555.6,551.4,599.0,538.0,538.0,538.0,538.0
0.078,570.4,555.6,551.4,596.2,538.0,538.0,538.0,538.0
0.093,568.2,555.6,551.2,593.4,538.0,538.0,538.0,538.0
0.093,568.2,555.6,551.2,593.0,538.0,538.0,538.0,538.0
0.093,568.2,555.6,551.2,591.2,538.0,538.0,538.0,538.0
0.094,568.2,554.8,551.2,591.2,538.0,538.0,538.0,538.0
0.109,568.2,553.6,549.6,588.2,538.0,538.0,538.0,538.0
0.109,568.2,552.6,549.6,586.0,538.0,538.0,538.0,538.0
0.109,568.2,552.6,549.6,584.8,538.0,538.0,538.0,538.0
0.124,568.2,552.6,549.6,584.2,538.0,538.0,538.0,538.0
0.124,568.2,552.6,549.6,582.0,538.0,538.0,538.0,538.0
0.124,568.2,552.6,549.6,580.4,538.0,538.0,538.0,538.0
0.124,568.2,552.6,549.6,579.8,538.0,538.0,538.0,538.0
0.125,568.2,551.6,549.6,579.6,538.0,538.0,538.0,538.0
0.125,568.2,551.2,549.6,579.6,538.0,538.0,538.0,538.0
0.14,567.6,550.4,549.6,579.2,538.0,538.0,538.0,538.0
0.141,567.6,549.4,549.6,579.2,538.0,538.0,538.0,538.0
0.156,567.6,549.4,549.4,577.4,538.0,538.0,538.0,538.0
0.156,567.6,549.4,549.0,577.2,538.0,538.0,538.0,538.0
0.156,567.6,549.4,549.0,576.6,538.0,538.0,538.0,538.0
0.156,567.6,549.4,549.0,575.8,538.0,538.0,538.0,538.0
0.171,567.6,549.4,548.2,575.0,538.0,538.0,538.0,538.0
0.171,567.6,549.4,548.2,574.6,538.0,538.0,538.0,538.0
0.172,567.0,549.4,548.2,574.6,538.0,538.0,538.0,538.0
0.187,567.0,549.0,548.2,573.4,538.0,538.0,538.0,538.0
0.203,567.0,548.8,547.8,573.2,538.0,538.0,538.0,538.0
0.203,567.0,548.8,547.6,572.6,538.0,538.0,538.0,538.0
0.218,566.6,548.8,547.4,572.4,538.0,538.0,538.0,538.0
0.219,566.6,548.2,547.4,572.4,538.0,538.0,538.0,538.0
0.219,566.6,548.0,547.4,572.4,538.0,538.0,538.0,538.0
0.234,566.6,548.0,547.4,570.8,538.0,538.0,538.0,538.0
0.25,566.6,548.0,547.4,570.6,538.0,538.0,538.0,538.0
0.265,566.6,548.0,546.6,569.6,538.0,538.0,538.0,538.0
0.265,566.6,548.0,546.6,568.8,538.0,538.0,538.0,538.0
0.28,566.6,547.8,546.6,568.8,538.0,538.0,538.0,538.0
0.281,566.6,547.8,546.4,568.8,538.0,538.0,538.0,538.0
0.296,566.6,547.8,546.4,568.6,538.0,538.0,538.0,538.0
0.296,566.6,547.8,546.4,567.2,538.0,538.0,538.0,538.0
0.296,566.6,547.8,546.4,566.8,538.0,538.0,538.0,538.0
0.296,566.6,547.8,546.4,566.4,538.0,538.0,538.0,538.0
0.312,566.6,547.8,546.4,565.6,538.0,538.0,538.0,538.0
0.312,566.6,547.8,546.4,565.2,538.0,538.0,538.0,538.0
0.327,566.6,547.8,546.2,565.2,538.0,538.0,538.0,538.0
0.328,566.6,547.8,546.2,564.0,538.0,538.0,538.0,538.0
0.328,566.6,547.8,546.2,563.6,538.0,538.0,538.0,538.0
0.343,564.0,547.2,546.2,563.6,538.0,538.0,538.0,538.0
0.358,564.0,547.2,546.2,562.6,538.0,538.0,538.0,538.0
0.374,564.0,547.2,546.2,561.4,538.0,538.0,538.0,538.0
0.375,564.0,547.0,546.2,561.4,538.0,538.0,538.0,538.0
0.405,564.0,547.0,546.2,560.4,538.0,538.0,538.0,538.0
0.422,564.0,546.6,546.2,560.4,538.0,538.0,538.0,538.0
0.436,564.0,546.2,546.2,560.4,538.0,538.0,538.0,538.0
0.468,564.0,545.2,546.2,560.4,538.0,538.0,538.0,538.0
0.499,564.0,545.2,546.0,560.4,538.0,538.0,538.0,538.0
0.514,564.0,545.2,546.0,560.2,538.0,538.0,538.0,538.0
0.546,561.6,545.2,546.0,559.6,538.0,538.0,538.0,538.0
