tiempo,SH,SCH,SHMM,SHMP,SH-BL,SCH-BL,SHMM-BL,SHMP-BL
0.0,69055.8,53515.6,69142.4,69145.2,42828.6,42685.6,42951.6,42880.0
0.0,67960.2,53105.4,68931.0,67134.8,42828.6,42685.6,42951.6,42880.0
0.0,67106.2,52828.4,68476.6,66605.4,42828.6,42685.6,42951.6,42880.0
0.0,67106.2,52560.0,68104.2,65916.2,42828.6,42685.6,42951.6,42880.0
0.0,67106.2,52099.6,68104.2,65916.2,42828.6,42685.6,42951.6,42880.0
0.0,67106.2,51983.4,68104.2,65916.2,42828.6,42685.6,42951.6,42880.0
0.015,65582.6,51912.8,67967.0,65840.0,42828.6,42665.6,42929.4,42880.0
0.015,64211.4,51680.2,67360.4,65840.0,42828.6,42665.6,42929.4,42880.0
0.015,63353.0,51522.2,66159.2,65840.0,42828.6,42665.6,42929.4,42880.0
0.015,63019.2,51319.4,66159.2,65840.0,42828.6,42665.6,42929.4,42880.0
0.015,63019.2,51293.4,66159.2,65840.0,42828.6,42665.6,42929.4,42880.0
0.016,61266.6,51218.2,65977.0,64336.8,42828.6,42607.8,42850.8,42710.2
0.016,59581.0,51065.6,65554.4,64025.2,42828.6,42555.0,42850.8,42649.2
0.016,59581.0,51024.0,65208.2,63923.2,42828.6,42516.2,42850.8,42649.2
0.016,59581.0,50904.8,65208.2,63923.2,42828.6,42516.2,42850.8,42649.2
0.031,58989.4,50694.2,63973.0,63565.6,42621.2,42458.2,42714.0,42572.8
0.031,58667.0,50410.6,63086.4,63227.2,42621.2,42404.4,42714.0,42550.2
0.031,58334.0,50380.8,61959.0,63227.2,42621.2,42404.4,42714.0,42550.2
0.031,58334.0,50319.0,61959.0,63227.2,42621.2,42404.4,42714.0,42550.2
0.031,58334.0,50258.2,61959.0,63227.2,42621.2,42404.4,42714.0,42550.2
0.031,58334.0,50116.8,61959.0,63227.2,42621.2,42404.4,42714.0,42550.2
0.032,57904.4,50116.8,61699.0,62885.0,42609.0,42389.8,42681.2,42547.4
0.032,57793.2,50116.8,61699.0,62840.0,42602.2,42378.2,42681.2,42524.8
0.032,57720.2,50116.8,61699.0,62607.4,42602.2,42378.2,42681.2,42524.8
0.046,57720.2,50054.2,61107.2,62607.4,42602.2,42371.8,42676.2,42519.4
0.046,57720.2,50054.2,60881.2,62607.4,42602.2,42371.8,42676.2,42461.2
0.046,57720.2,50054.2,60788.4,62607.4,42602.2,42371.8,42676.2,42461.2
0.047,56181.0,49910.4,60429.6,61894.8,42523.2,42337.8,42643.8,42423.6
0.047,55801.0,49705.0,60429.6,61711.8,42523.2,42309.8,42643.8,42391.6
0.047,55509.2,49685.0,60429.6,61711.8,42523.2,42309.8,42643.8,42391.2
0.047,55332.6,49685.0,60429.6,61711.8,42523.2,42309.8,42643.8,42391.2
0.062,54769.0,49515.0,59707.4,61451.2,42522.4,42293.2,42599.4,42362.4
0.062,54717.8,49407.6,59580.0,61451.2,42522.4,42285.6,42599.4,42356.4
0.062,54589.0,49407.6,59580.0,61451.2,42522.4,42285.6,42599.4,42352.0
0.063,54133.6,49358.8,58853.4,61326.0,42522.4,42265.0,42599.4,42330.4
0.063,53925.0,49358.8,58319.4,61071.0,42522.4,42265.0,42599.4,42330.4
0.063,53925.0,49358.8,58180.8,60775.8,42522.4,42265.0,42599.4,42330.4
0.063,53925.0,49358.8,58180.8,60629.4,42522.4,42265.0,42599.4,42330.4
0.077,53925.0,49358.8,58180.8,60629.4,42522.4,42265.0,42599.4,42329.6
0.078,53417.0,49187.6,56660.0,60310.0,42448.4,42237.8,42507.0,42319.4
0.078,53274.2,49187.6,56352.2,60288.4,42448.4,42237.8,42507.0,42304.2
0.078,53002.2,49187.6,56323.2,60288.4,42448.4,42237.8,42507.0,42304.2
0.093,53002.2,49154.8,56049.8,60284.0,42448.4,42233.4,42507.0,42276.0
0.093,53002.2,49149.4,56032.6,60284.0,42448.4,42233.4,42507.0,42276.0
0.093,53002.2,49084.0,55916.2,60284.0,42448.4,42233.4,42507.0,42276.0
0.094,52636.0,48969.2,55445.2,60275.8,42417.4,42233.4,42507.0,42276.0
0.094,52636.0,48918.6,55295.6,60275.8,42417.4,42233.4,42507.0,42276.0
0.094,52636.0,48918.6,55164.4,60275.8,42417.4,42233.4,42507.0,42276.0
0.094,52636.0,48918.6,54845.8,60275.8,42417.4,42233.4,42507.0,42276.0
0.109,52516.6,48742.6,53665.8,60204.6,42417.4,42229.2,42469.4,42272.2
0.109,52516.6,48695.6,53665.8,60204.6,42417.4,42229.2,42469.4,42269.4
0.11,52516.6,48695.6,53665.8,59627.6,42417.4,42229.2,42469.4,42269.4
0.11,52516.6,48695.6,53665.8,59547.2,42417.4,42229.2,42469.4,42269.4
0.124,52516.6,48597.8,53563.4,59547.2,42417.4,42228.8,42469.4,42261.4
0.124,52516.6,48558.2,53362.6,59547.2,42417.4,42228.8,42469.4,42261.4
0.124,52516.6,48546.8,53362.6,59547.2,42417.4,42228.8,42469.4,42261.4
0.125,52241.6,48519.4,52521.6,59078.6,42417.4,42228.8,42469.4,42255.6
0.125,52241.6,48519.4,52521.6,58984.8,42417.4,42228.8,42469.4,42251.4
0.14,52241.6,48426.0,51852.0,58984.8,42417.4,42228.8,42469.4,42251.4
0.141,52241.6,48426.0,51739.8,58769.6,42417.4,42218.0,42469.4,42251.4
0.156,52240.2,48376.4,51537.6,58539.4,42390.2,42187.2,42458.0,42251.4
0.156,52240.2,48339.4,51537.6,58488.8,42390.2,42187.2,42458.0,42251.4
0.171,52164.8,48319.2,51537.6,58473.2,42366.0,42183.0,42446.6,42251.4
0.171,52164.8,48307.0,51537.6,58473.2,42366.0,42168.6,42446.6,42251.4
0.171,52164.8,48298.4,51537.6,58473.2,42366.0,42168.6,42446.6,42251.4
0.172,52162.8,48287.8,51537.6,58346.6,42366.0,42168.2,42429.0,42251.4
0.172,52066.2,48255.4,51537.6,58193.8,42366.0,42168.2,42429.0,42251.4
0.172,52066.2,48255.4,51537.6,58046.6,42366.0,42168.2,42429.0,42251.4
0.187,52066.2,48177.6,51486.4,58038.4,42366.0,42164.0,42429.0,42251.4
0.187,52066.2,48166.4,51446.8,57912.2,42366.0,42159.0,42429.0,42251.4
0.187,52066.2,48084.8,51446.8,57912.2,42366.0,42159.0,42429.0,42251.4
0.188,52066.2,48084.8,51446.8,57812.6,42366.0,42159.0,42429.0,42248.2
0.188,52066.2,48084.8,51446.8,57812.6,42366.0,42159.0,42429.0,42221.8
0.202,52066.2,48084.2,51407.2,57706.2,42366.0,42151.0,42429.0,42221.8
0.202,52066.2,48067.2,51364.8,57706.2,42366.0,42151.0,42429.0,42221.8
0.203,51499.2,48014.2,51359.0,57543.2,42330.4,42151.0,42413.8,42201.2
0.203,51499.2,48010.4,51359.0,57536.8,42330.4,42151.0,42413.8,42201.2
0.218,51499.2,47901.6,51241.6,57400.6,42330.4,42143.0,42402.8,42197.0
