tiempo,SH,SCH,SHMM,SHMP,SH-BL,SCH-BL,SHMM-BL,SHMP-BL
0.0,15741.2,11702.6,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.015,15741.2,11692.8,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.016,15741.2,11615.8,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.031,15622.6,11545.6,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.031,15622.6,11532.6,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.031,15622.6,11511.2,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.031,15622.6,11484.4,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.032,15622.6,11470.8,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.032,15622.6,11435.2,15879.2,15732.0,9118.4,9096.4,9121.0,9125.0
0.046,15549.6,11433.2,15789.6,15653.8,9118.4,9075.8,9121.0,9125.0
0.046,15549.6,11433.2,15789.6,15653.8,9118.4,9073.2,9121.0,9125.0
0.047,15378.2,11433.2,15785.8,15637.2,9097.0,9057.6,9121.0,9088.2
0.047,15378.2,11433.2,15785.8,15637.2,9097.0,9055.8,9121.0,9088.2
0.062,14971.8,11419.4,15727.0,15471.6,9078.6,9020.8,9121.0,9069.6
0.062,14971.8,11419.4,15727.0,15471.6,9078.6,9014.2,9121.0,9053.6
0.063,14971.8,11419.4,15727.0,15471.6,9078.6,9005.8,9103.2,9053.6
0.078,14279.0,11399.8,15692.4,15174.2,9073.4,8989.0,9103.2,9050.6
0.078,14279.0,11399.8,15692.4,15174.2,9073.4,8985.4,9103.2,9050.6
0.093,14279.0,11357.6,15637.6,15174.2,9062.0,8982.2,9103.2,9020.6
0.094,14029.4,11357.6,15624.2,15174.2,9062.0,8974.4,9094.0,9019.8
0.094,14029.4,11357.6,15624.2,15174.2,9062.0,8970.2,9094.0,9019.8
0.108,14029.4,11357.6,15552.4,15174.2,9062.0,8970.2,9094.0,9019.8
0.109,13800.6,11350.4,15440.2,15043.0,9057.2,8963.0,9088.8,8994.8
0.109,13800.6,11326.6,15440.2,15043.0,9057.2,8963.0,9088.8,8994.8
0.124,13617.0,11303.4,15317.8,15043.0,9055.6,8962.2,9088.8,8994.8
0.125,13559.2,11303.4,15191.6,14993.4,9055.6,8959.0,9079.2,8991.8
0.14,13399.6,11303.4,15188.8,14910.4,9055.6,8953.8,9079.2,8985.6
0.141,13399.6,11303.4,15188.8,14910.4,9055.6,8953.8,9076.4,8985.6
0.156,13303.4,11284.0,15090.2,14827.8,9046.6,8943.2,9076.4,8984.8
0.156,13303.4,11284.0,15090.2,14827.8,9046.6,8940.0,9076.4,8984.8
0.171,13303.4,11280.4,15025.6,14817.0,9044.4,8933.4,9076.4,8980.4
0.172,13229.6,11275.4,14902.4,14817.0,9044.4,8933.4,9076.4,8979.8
0.186,13229.6,11275.4,14863.0,14817.0,9044.4,8933.4,9076.4,8979.8
0.187,12989.8,11252.6,14863.0,14778.0,9035.0,8932.8,9076.4,8975.4
0.187,12989.8,11249.2,14863.0,14778.0,9035.0,8932.8,9076.4,8972.2
0.188,12989.8,11238.8,14863.0,14778.0,9035.0,8926.8,9076.4,8972.2
0.202,12868.6,11238.8,14846.0,14753.4,9035.0,8926.8,9074.2,8967.4
0.203,12735.8,11218.6,14762.0,14735.6,9033.8,8923.0,9074.2,8960.2
0.218,12710.6,11190.4,14294.0,14707.6,9033.2,8915.2,9074.2,8959.0
0.218,12710.6,11185.4,14294.0,14707.6,9033.2,8915.2,9074.2,8959.0
0.234,12629.2,11157.2,14261.6,14702.8,9028.8,8915.2,9068.2,8958.4
0.249,12495.2,11157.2,14214.2,14698.0,9028.8,8911.4,9068.2,8949.6
0.25,12495.2,11157.2,14193.8,14698.0,9028.8,8911.4,9068.2,8949.6
0.265,12311.2,11145.4,14149.8,14698.0,9025.6,8908.8,9068.2,8945.6
0.265,12311.2,11140.4,14149.8,14698.0,9025.6,8908.8,9068.2,8945.6
0.28,12228.0,11124.0,14149.8,14698.0,9024.8,8908.8,9068.2,8945.6
0.281,12228.0,11098.8,14005.8,14696.2,9024.8,8904.6,9068.2,8944.4
0.296,12228.0,11098.8,13963.6,14682.2,9024.8,8903.6,9067.6,8941.8
0.297,12228.0,11098.8,13963.6,14678.4,9024.8,8903.6,9064.6,8941.8
0.311,12228.0,11098.8,13897.6,14678.4,9024.8,8903.6,9064.6,8941.8
0.312,12164.0,11095.0,13775.8,14603.4,9019.8,8892.4,9055.0,8938.4
0.327,12131.6,11094.4,13775.8,14603.4,9018.4,8890.8,9055.0,8936.2
0.327,12131.6,11087.2,13775.8,14603.4,9018.4,8890.8,9055.0,8936.2
0.328,12102.6,11085.2,13724.0,14603.4,9018.4,8890.8,9050.2,8934.0
0.328,12102.6,11077.0,13724.0,14603.4,9018.4,8890.8,9050.2,8934.0
0.342,12102.6,11077.0,13721.6,14603.4,9018.4,8890.8,9050.2,8934.0
0.343,12078.0,11066.8,13492.6,14603.4,9018.4,8890.8,9044.4,8932.6
0.343,12078.0,11066.8,13492.6,14603.4,9018.4,8890.8,9043.6,8932.6
0.358,12078.0,11066.8,13479.4,14603.4,9018.4,8890.8,9043.6,8932.6
0.359,12076.2,11066.8,13434.2,14602.8,9018.4,8890.8,9043.6,8932.6
0.374,11958.4,11050.4,13261.0,14600.0,9015.4,8890.0,9043.4,8931.2
0.374,11958.4,11050.4,13261.0,14600.0,9015.4,8889.6,9043.4,8931.2
0.375,11958.4,11050.4,13261.0,14600.0,9015.4,8889.6,9038.4,8931.2
0.389,11958.4,11050.4,13139.2,14600.0,9015.4,8889.6,9038.4,8931.2
0.39,11940.2,11050.4,12954.0,14600.0,9015.4,8889.6,9038.2,8928.2
0.405,11940.2,11050.4,12931.0,14554.8,9011.4,8889.2,9037.4,8923.6
0.406,11940.2,11050.4,12897.4,14554.8,9011.4,8888.6,9034.6,8922.0
0.421,11868.4,11040.8,12822.2,14536.8,9011.4,8885.2,9019.6,8917.6
0.422,11868.4,11040.8,12822.2,14536.8,9009.4,8885.2,9019.6,8917.6
0.436,11868.4,11038.8,12822.2,14536.8,9006.4,8884.4,9019.6,8917.6
0.437,11868.4,11019.8,12753.2,14536.8,9006.4,8882.4,9019.6,8912.4
0.452,11841.6,11011.0,12714.8,14502.2,9006.4,8881.8,9003.8,8904.6
0.452,11841.6,11001.6,12714.8,14502.2,9006.4,8881.8,9003.8,8904.6
0.468,11711.0,10992.0,12703.0,14502.2,9006.4,8880.8,9003.8,8904.6
