,eil76,eil76,eil76,kroA100,kroA100,kroA100,d198,d198,d198,lin318,lin318,lin318,att532,att532,att532,rat783,rat783,rat783
,538.0,538.0,538.0,21282.0,21282.0,21282.0,15780.0,15780.0,15780.0,42029.0,42029.0,42029.0,27686.0,27686.0,27686.0,8806.0,8806.0,8806.0
Modelo,Med,Mej,Desv,Med,Mej,Desv,Med,Mej,Desv,Med,Mej,Desv,Med,Mej,Desv,Med,Mej,Desv
SH,546.0,548.0,1.0,22198.0,22245.0,61.0,17246.0,17474.0,178.0,47366.0,47752.0,343.0,33987.0,34446.0,345.0,11281.0,11417.0,97.0
SCH,538.0,538.0,0.0,21336.0,21373.0,49.0,15997.0,16064.0,49.0,42545.0,42763.0,149.0,28460.0,28686.0,168.0,9162.0,9261.0,57.0
SHMM,538.0,538.0,0.0,21282.0,21282.0,0.0,15985.0,16002.0,11.0,42891.0,43063.0,133.0,28448.0,28564.0,89.0,9074.0,9097.0,20.0
SHMP,542.0,548.0,3.0,21424.0,21577.0,144.0,16392.0,16525.0,157.0,43151.0,43542.0,243.0,29520.0,29747.0,188.0,9975.0,10337.0,268.0
SH-BL,538.0,538.0,0.0,21282.0,21282.0,0.0,15780.0,15780.0,0.0,42070.0,42103.0,19.0,27847.0,27876.0,23.0,8941.0,8946.0,3.0
SCH-BL,538.0,538.0,0.0,21282.0,21282.0,0.0,15780.0,15780.0,0.0,42029.0,42029.0,0.0,27697.0,27705.0,10.0,8806.0,8806.0,0.0
SHMM-BL,538.0,538.0,0.0,21282.0,21282.0,0.0,15780.0,15780.0,0.0,42029.0,42029.0,0.0,27686.0,27686.0,0.0,8806.0,8806.0,0.0
SHMP-BL,538.0,538.0,0.0,21282.0,21282.0,0.0,15780.0,15780.0,0.0,42029.0,42029.0,0.0,27693.0,27705.0,9.0,8809.0,8816.0,4.0
